2024-09-14 11:46:41.174 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:41.174 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:46:41.175 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:41.183 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:46:41.183 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:41.183 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:46:41.183 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:41.199 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:46:51.205 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:51.205 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:46:51.205 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:51.222 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:47:01.234 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:47:01.234 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:47:01.234 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:47:01.250 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:47:11.262 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:47:11.262 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:47:11.262 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:47:11.281 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:47:21.290 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:47:21.291 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
